# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "miRNA_primary_transcript" "-g" "Name" "-a" "dme_dm6.gff3" "-o" "Dmel_miRNA_expression.tab" "SRR016854_t.sam" "SRR018039_t.sam" "SRR069836_t.sam" "SRR069837_t.sam" 
Geneid	Chr	Start	End	Strand	Length	SRR016854_t.sam	SRR018039_t.sam	SRR069836_t.sam	SRR069837_t.sam
dme_256	chr2R	23871298	23871405	+	108	0	0	0	0
dme_258	chr2R	4731273	4731410	+	138	0	0	0	0
dme_259	chr3L	21202445	21202542	+	98	0	0	0	0
dme_266	chr3L	17020357	17020476	+	120	1	0	0	0
dme_280	chr3R	5831513	5831616	+	104	0	0	0	0
dme_282	chr2L	13717248	13717347	-	100	0	0	0	0
dme_293	chrX	16680801	16680912	-	112	0	0	0	0
dme_295	chrX	13281230	13281331	-	102	0	0	0	0
dme_296	chr3L	5583650	5583751	+	102	0	0	0	0
dme_312	chr3L	21346602	21346705	-	104	0	0	0	0
dme_323	chr2L	13812347	13812460	-	114	0	0	0	0
dme_341	chr2R	21155708	21155809	-	102	2	0	1	0
dme_373	chr3R	10391243	10391386	+	144	0	1	0	0
dme_374	chr3R	10094097	10094200	+	104	2	0	0	0
dme_375	chr2R	12341405	12341512	-	108	0	0	0	0
dme_376	chr3L	2805671	2805784	-	114	0	1	0	0
dme_377	chr3R	5084404	5084509	-	106	3	1	0	0
dme_378	chr3R	22685604	22685717	+	114	3	2	1	0
dme_379	chr2R	8904152	8904257	+	106	1	0	0	0
dme_380	chr2R	9964766	9964877	-	112	0	0	0	2
dme_381	chr2R	9262781	9262886	-	106	0	0	0	0
dme_382	chr3R	13311475	13311584	-	110	6	1	0	1
dme_383	chrX	4384446	4384575	-	130	0	0	0	0
dme_384	chr3R	5282746	5282859	-	114	0	0	0	0
dme_385	chr3L	3545650	3545773	+	124	0	0	0	0
dme_386	chr3R	18194392	18194507	-	116	1	0	0	0
dme_387	chr3L	1652605	1652714	-	110	0	0	0	0
dme_388	chr3L	8139120	8139225	+	106	0	0	0	0
dme_389	chrX	11759984	11760107	+	124	0	0	0	0
dme_390	chr3R	16339316	16339447	-	132	0	0	0	0
dme_391	chr2R	6662769	6662868	-	100	0	0	0	1
dme_392	chrX	1220944	1221057	-	114	0	0	0	0
dme_393	chr3R	14899939	14900046	-	108	0	0	0	0
dme_394	chr3R	19891272	19891385	+	114	0	0	0	0
dme_395	chr3R	13695366	13695473	-	108	1	0	0	0
dme_396	chrX	2111343	2111468	+	126	0	0	1	0
dme_397	chrX	14234738	14234849	-	112	0	0	0	0
dme_398	chr3L	16011352	16011505	-	154	0	0	0	0
dme_399	chr2R	10434349	10434450	+	102	1	0	0	0
dme_400	chr3R	27581301	27581426	-	126	0	0	0	0
dme_401	chr2L	4955575	4955688	+	114	0	0	0	1
dme_402	chr2R	23725320	23725439	+	120	0	0	0	0
dme_403	chr2R	18827307	18827414	+	108	0	0	0	0
dme_404	chr3L	4213611	4213716	+	106	0	0	0	0
dme_405	chr2R	8174657	8174762	+	106	0	0	0	0
dme_406	chrX	8597858	8597993	+	136	1	1	0	0
dme_407	chr2R	9900845	9900996	-	152	0	0	0	0
dme_408	chr3R	18970890	18971019	+	130	0	0	0	0
dme_409	chr3R	22734229	22734348	-	120	0	0	0	0
dme_410	chr2L	214286	214409	-	124	1	3	1	0
dme_411	chr2R	16831278	16831377	+	100	0	0	0	0
dme_412	chr3L	4134071	4134186	-	116	0	0	0	0
dme_413	chr2R	8611054	8611177	+	124	0	0	0	0
dme_414	chrX	19683477	19683586	+	110	0	0	0	0
dme_415	chr3R	22678013	22678128	+	116	0	0	0	0
dme_416	chr3R	26875091	26875198	-	108	0	0	0	0
dme_418	chr3L	1719766	1719893	-	128	0	0	0	1
dme_419	chr2R	21324435	21324540	+	106	1	3	0	0
dme_420	chr3R	19220474	19220607	-	134	0	0	0	0
dme_421	chr3R	8814544	8814647	-	104	3	1	0	4
dme_422	chr3R	31618357	31618464	+	108	0	1	0	0
dme_423	chr3R	24655456	24655595	+	140	0	0	0	0
dme_424	chrX	13659559	13659670	+	112	2	0	1	0
dme_425	chrX	18373189	18373310	+	122	0	0	0	1
dme_426	chr2R	17428919	17429026	+	108	0	0	0	0
dme_427	chr3L	12402967	12403082	-	116	2	0	0	0
dme_428	chr2L	6011911	6012010	-	100	0	0	0	0
dme_429	chr2L	11991247	11991354	+	108	0	0	0	0
dme_430	chr2R	7098533	7098638	+	106	0	0	0	0
dme_431	chr3R	29037769	29037882	-	114	0	0	0	0
dme_432	chr3R	5357833	5357948	-	116	2	1	0	0
dme_433	chr3L	5768110	5768225	-	116	1	0	0	0
dme_434	chrX	11493424	11493537	+	114	0	0	0	0
dme_435	chr2L	6793387	6793544	-	158	2	0	0	0
dme_436	chr2L	3067742	3067861	+	120	5	0	0	0
dme_437	chr3R	4802264	4802321	-	58	0	0	0	0
dme_438	chr2R	23731947	23732060	+	114	3	1	1	0
dme_439	chr2L	19568476	19568541	-	66	1	2	0	1
dme_440	chr3L	25986169	25986218	-	50	0	0	0	0
dme_442	chr2R	15263097	15263224	-	128	0	0	0	0
dme_443	chr2L	8523540	8523641	+	102	1	0	0	0
dme_444	chrX	21572075	21572180	-	106	0	0	0	0
dme_445	chrX	3275710	3275821	+	112	0	0	0	0
dme_446	chr3R	14119905	14120028	-	124	0	2	0	0
dme_447	chr2L	1089593	1089702	-	110	0	1	0	0
dme_448	chrX	19632885	19632994	-	110	0	0	0	0
dme_449	chr2L	22238743	22238812	+	70	0	0	0	0
dme_452	chrUn_DS483872v1	1460	1523	-	64	0	0	0	0
dme_453	chr2R	14172659	14172770	+	112	2	0	1	0
dme_454	chr3R	27642458	27642563	+	106	0	0	0	0
dme_456	chr2L	16768952	16769071	+	120	0	0	0	0
dme_458	chr3L	11836505	11836616	-	112	0	0	0	0
dme_459	chr2R	22180263	22180378	+	116	0	0	0	0
dme_460	chr2R	24898128	24898235	+	108	0	0	0	0
dme_461	chr3R	24157294	24157415	-	122	0	0	0	0
dme_462	chrX	19558363	19558472	-	110	0	0	0	0
dme_463	chr2R	9164623	9164740	-	118	0	0	0	0
dme_464	chrX	4685775	4685892	-	118	3	0	0	0
dme_465	chr2R	8362384	8362503	-	120	0	0	0	0
dme_466	chrX	8919433	8919542	+	110	0	0	0	0
dme_467	chr3L	20156091	20156214	-	124	0	0	0	0
dme_469	chr3L	16128324	16128437	-	114	6	1	0	1
dme_470	chrX	19558611	19558702	-	92	0	0	0	0
dme_471	chrX	1389434	1389625	+	192	0	0	1	0
dme_472	chr3R	13399409	13399534	-	126	0	0	0	0
dme_473	chr3L	1341838	1341951	-	114	0	0	0	0
dme_474	chr3R	31618235	31618342	+	108	0	0	0	0
dme_7	chrX	23439483	23439590	+	108	0	0	0	0
dme_86	chr2R	18180126	18180223	-	98	0	0	0	0
dme-bantam	chr3L	642208	642288	+	81	4753	1793	348	637
dme-let-7	chr2L	18472034	18472111	+	78	15814	3645	503	992
dme-mir-1	chr2L	20487441	20487531	+	91	79735	15924	5518	7534
dme-mir-10	chr3R	6809506	6809582	-	77	2994	677	194	368
dme-mir-100	chr2L	18471434	18471533	+	100	563	104	8	35
dme-mir-1000	chr3R	25588859	25588958	-	100	194	38	6	17
dme-mir-1001	chr3R	27642466	27642555	-	90	0	0	0	0
dme-mir-1002	chr2L	13747609	13747697	-	89	0	0	0	1
dme-mir-1003	chr3R	24658605	24658660	+	56	542	260	37	69
dme-mir-1004	chr2L	3767621	3767688	+	68	76	15	13	5
dme-mir-1005	chr2L	4343696	4343756	+	61	17	7	1	2
dme-mir-1006	chr2L	16724795	16724858	-	64	77	30	8	7
dme-mir-1007	chrX	21296385	21296449	-	65	26	6	2	2
dme-mir-1008	chr2R	10885533	10885589	+	57	112	41	8	16
dme-mir-1009	chr2R	23993054	23993114	-	61	26	16	1	4
dme-mir-1010	chr3R	22292879	22292949	+	71	148	39	16	22
dme-mir-1011	chr3R	20853305	20853358	-	54	0	0	0	0
dme-mir-1012	chr3R	26861349	26861407	-	59	169	84	16	27
dme-mir-1013	chr3R	30791636	30791696	-	61	16	7	2	2
dme-mir-1014	chr3R	31753524	31753591	-	68	73	11	4	5
dme-mir-1015	chr3R	24339232	24339295	+	64	160	45	11	21
dme-mir-1016	chr2R	14233130	14233187	-	58	2	4	3	0
dme-mir-1017	chr3R	24488612	24488682	+	71	60	8	8	4
dme-mir-11	chr3R	21622497	21622571	-	75	12431	3618	526	1313
dme-mir-11182	chr2R	18180151	18180205	-	55	0	0	0	0
dme-mir-12	chrX	15509473	15509546	+	74	52411	8019	4256	2646
dme-mir-124	chr2L	17566370	17566469	+	100	8921	1443	466	593
dme-mir-125	chr2L	18472315	18472424	+	110	11288	2084	528	719
dme-mir-133	chr2L	20616617	20616714	+	98	2075	390	137	171
dme-mir-137	chr2R	16065254	16065344	-	91	135	26	5	4
dme-mir-13a	chr3R	15417542	15417616	-	75	340	38	10	24
dme-mir-13b-1	chr3R	15417408	15417475	-	68	144	287	28	93
dme-mir-13b-2	chrX	9091230	9091299	+	70	61	55	4	14
dme-mir-14	chr2R	9553762	9553824	+	63	82415	26463	8067	10387
dme-mir-184	chr2R	13329402	13329501	-	100	10169	4982	562	1996
dme-mir-190	chr3L	8571799	8571898	+	100	343	80	11	27
dme-mir-193	chr3L	21574014	21574121	+	108	49	29	8	25
dme-mir-210	chrX	18128219	18128318	+	100	548	156	13	31
dme-mir-219	chr3L	17315006	17315105	+	100	213	50	29	21
dme-mir-2279	chr2R	2552170	2552282	-	113	0	0	0	1
dme-mir-2280	chr2L	1831685	1831799	-	115	0	0	0	0
dme-mir-2281	chr3R	14396399	14396501	-	103	0	0	0	0
dme-mir-2282	chr3L	3412145	3412251	-	107	0	0	0	0
dme-mir-2283	chr3R	9517524	9517599	+	76	0	0	0	0
dme-mir-2489	chr2L	13609974	13610068	+	95	2	0	0	0
dme-mir-2490	chr2L	23168825	23168899	+	75	0	0	0	0
dme-mir-2491	chrX	22833440	22833583	-	144	0	0	0	0
dme-mir-2492	chrX	11547422	11547497	+	76	0	0	0	0
dme-mir-2493	chr3R	15130754	15130859	-	106	3	0	0	0
dme-mir-2494	chr3R	16618766	16618882	+	117	140	82	3	21
dme-mir-2495	chr2L	5068570	5068684	+	115	1	0	0	0
dme-mir-2496	chrX	2010300	2010417	+	118	1	0	0	0
dme-mir-2497	chr2L	16678240	16678335	+	96	0	1	0	0
dme-mir-2498	chr2R	20584709	20584820	-	112	18	0	0	0
dme-mir-2499	chrX	19557008	19557103	+	96	8	1	0	0
dme-mir-2500	chr3L	16998457	16998524	-	68	4	3	0	0
dme-mir-2501	chr3L	8111107	8111177	+	71	2	0	0	1
dme-mir-252	chr3R	13464219	13464311	-	93	21040	3255	1163	1168
dme-mir-2535b	chrX	21298275	21298345	-	71	10	3	0	0
dme-mir-263a	chr2L	11953410	11953503	-	94	4110	1134	191	311
dme-mir-263b	chr3L	15843406	15843495	-	90	340	143	47	83
dme-mir-274	chr3L	11656918	11657017	+	100	2134	286	74	77
dme-mir-275	chr2L	7425795	7425892	+	98	499	305	45	176
dme-mir-276a	chr3L	10365228	10365325	+	98	63853	9779	3658	4072
dme-mir-276b	chr3L	10319785	10319883	+	99	510	91	30	49
dme-mir-277	chr3R	10100022	10100121	+	100	78355	13292	3742	5826
dme-mir-278	chr2R	15657066	15657163	+	98	5734	1345	320	821
dme-mir-279	chr3R	29215585	29215684	+	100	6943	4841	753	1944
dme-mir-281-1	chr2R	12170373	12170462	-	90	261	32	5	10
dme-mir-281-2	chr2R	12170153	12170244	-	92	1456	241	70	93
dme-mir-282	chr3L	3251022	3251118	+	97	3707	1660	201	630
dme-mir-283	chrX	15507956	15508055	+	100	161	87	13	30
dme-mir-284	chr3R	12551515	12551614	-	100	2027	378	135	148
dme-mir-285	chr3L	11946093	11946191	-	99	331	170	41	99
dme-mir-286	chr2R	19661422	19661521	-	100	11	10	0	8
dme-mir-2a-1	chr2L	19569897	19569972	-	76	133	30	12	15
dme-mir-2a-2	chr2L	19569490	19569561	-	72	4613	1418	148	453
dme-mir-2b-1	chr2L	8258616	8258692	-	77	71	26	1	3
dme-mir-2b-2	chr2L	19570182	19570264	-	83	132	61	6	17
dme-mir-2c	chr3R	15417744	15417845	-	102	85	14	4	12
dme-mir-3	chr2R	19661595	19661663	-	69	12	11	0	1
dme-mir-303	chrX	4366179	4366248	-	70	105	1	12	1
dme-mir-304	chrX	15508959	15509046	+	88	742	150	42	62
dme-mir-305	chr2L	7425972	7426044	+	73	12127	3412	834	1243
dme-mir-306	chr2L	16698404	16698488	+	85	386	385	44	163
dme-mir-307a	chr2R	9621251	9621338	-	88	0	0	0	0
dme-mir-307b	chr2R	9621234	9621353	+	120	0	0	0	0
dme-mir-308	chr2R	14215802	14215864	-	63	605	355	61	176
dme-mir-309	chr2R	19661706	19661774	-	69	0	6	0	1
dme-mir-310	chr2R	20583752	20583840	-	89	431	952	51	522
dme-mir-311	chr2R	20583877	20583960	-	84	232	838	27	483
dme-mir-312	chr2R	20584056	20584121	-	66	364	1201	21	565
dme-mir-313	chr2R	20584190	20584260	-	71	97	506	10	167
dme-mir-314	chr3L	11773012	11773101	+	90	1023	299	34	38
dme-mir-315	chr3L	18860971	18861054	+	84	11	1	1	3
dme-mir-316	chr3L	21668714	21668802	-	89	1621	362	65	147
dme-mir-317	chr3R	10091126	10091217	+	92	25774	5495	2023	2033
dme-mir-318	chr3R	10408302	10408369	+	68	71	11528	13	3609
dme-mir-31a	chr2R	17783795	17783886	-	92	4035	1039	229	318
dme-mir-31b	chrX	8993305	8993431	-	127	1144	297	80	79
dme-mir-33	chr3L	19797961	19798059	+	99	869	321	52	111
dme-mir-34	chr3R	10100936	10101034	+	99	90604	20164	3746	6002
dme-mir-3641	chrX	2171086	2171154	+	69	4	1	0	1
dme-mir-3642	chr3L	11629505	11629580	+	76	1	0	0	0
dme-mir-3643	chr2R	17766393	17766460	-	68	0	0	0	2
dme-mir-3644	chr3R	15192297	15192357	-	61	0	0	0	0
dme-mir-3645	chrX	5622280	5622416	-	137	0	0	1	0
dme-mir-375	chr2L	857542	857632	+	91	2288	334	88	131
dme-mir-4	chr2R	19661289	19661369	-	81	4	2	0	1
dme-mir-4908	chr3R	30506829	30506887	+	59	0	0	0	0
dme-mir-4909	chr2R	7711417	7711476	+	60	0	1	0	0
dme-mir-4910	chr2L	4817816	4817881	-	66	0	0	0	0
dme-mir-4911	chr3R	15836287	15836354	-	68	2	0	0	0
dme-mir-4912	chr2L	4829980	4830039	-	60	0	0	0	0
dme-mir-4913	chr3L	8354184	8354241	-	58	0	1	0	1
dme-mir-4914	chr2L	2737568	2737661	+	94	1	0	0	0
dme-mir-4915	chrX	133385	133502	+	118	1	0	0	0
dme-mir-4916	chrX	9236460	9236518	-	59	0	0	0	0
dme-mir-4917	chrX	14199545	14199621	+	77	0	0	0	0
dme-mir-4918	chr3R	8308431	8308485	-	55	0	0	0	0
dme-mir-4919	chr2R	15945887	15945946	+	60	6	0	1	2
dme-mir-4939	chr2R	22985211	22985319	-	109	1	0	0	0
dme-mir-4940	chr3L	9144593	9144697	+	105	2	0	0	0
dme-mir-4941	chr3L	16031189	16031291	+	103	0	0	0	0
dme-mir-4942	chr3L	23339228	23339337	+	110	0	0	0	0
dme-mir-4943	chr2L	16528375	16528491	-	117	3	0	0	0
dme-mir-4944	chr3R	10513005	10513133	-	129	0	0	0	0
dme-mir-4945	chr3R	11442192	11442306	-	115	0	0	0	0
dme-mir-4946	chr2L	18867046	18867161	-	116	0	0	0	0
dme-mir-4947	chr3R	29008753	29008852	-	100	1	0	0	0
dme-mir-4948	chr3R	31051098	31051203	-	106	1	0	0	0
dme-mir-4949	chr3R	31219274	31219372	-	99	10	3	0	2
dme-mir-4950	chr3R	7451452	7451543	+	92	1	0	0	0
dme-mir-4951	chr3R	21316716	21316865	+	150	18	5	0	1
dme-mir-4952	chr3R	22480813	22480938	+	126	1	0	0	0
dme-mir-4953	chr3R	22774140	22774232	+	93	0	0	0	0
dme-mir-4954	chrX	2029004	2029094	-	91	0	0	0	0
dme-mir-4955	chrX	2544740	2544908	-	169	8	1	0	1
dme-mir-4956	chrX	7085737	7085853	-	117	0	1	0	0
dme-mir-4957	chrX	15319954	15320037	-	84	1	1	0	0
dme-mir-4958	chrX	16080923	16081056	-	134	1	0	0	1
dme-mir-4959	chrX	19169131	19169248	-	118	0	0	0	0
dme-mir-4960	chrX	569903	570003	+	101	0	0	0	0
dme-mir-4961	chrX	1373623	1373755	+	133	2	1	0	0
dme-mir-4962	chrX	3777382	3777505	+	124	0	0	0	0
dme-mir-4963	chrX	5790753	5790861	+	109	0	0	0	0
dme-mir-4964	chrX	8965801	8965912	+	112	1	1	0	0
dme-mir-4965	chrX	16606108	16606194	+	87	0	0	0	0
dme-mir-4966	chrX	19558370	19558496	+	127	0	0	0	0
dme-mir-4967	chr2R	10012093	10012199	-	107	1	0	0	0
dme-mir-4968	chr3L	11552539	11552693	-	155	5	1	1	0
dme-mir-4969	chr3R	21798514	21798671	-	158	6	0	1	1
dme-mir-4970	chr2L	10741885	10741987	+	103	0	1	0	0
dme-mir-4971	chr2L	3463290	3463400	-	111	1	0	0	0
dme-mir-4972	chr2L	3636967	3637073	-	107	1	0	0	0
dme-mir-4973	chr2L	20562298	20562448	+	151	0	0	0	0
dme-mir-4974	chr2L	21263933	21264034	+	102	1	0	0	0
dme-mir-4975	chr2R	6707163	6707273	-	111	2	0	1	0
dme-mir-4976	chr2R	6835533	6835635	-	103	28	0	0	0
dme-mir-4977	chr2R	7406733	7406837	-	105	1	3	0	0
dme-mir-4978	chr2R	14005860	14006006	-	147	0	0	0	0
dme-mir-4979	chr2R	23734033	23734141	-	109	0	0	0	0
dme-mir-4980	chr2R	7786322	7786443	+	122	0	0	0	0
dme-mir-4981	chr2R	8015249	8015343	+	95	4	0	0	0
dme-mir-4982	chr2R	18720169	18720287	+	119	0	0	0	0
dme-mir-4983	chr2R	19637414	19637521	+	108	3	0	0	0
dme-mir-4984	chr2L	8141540	8141662	-	123	0	0	0	0
dme-mir-4985	chr2R	24294231	24294331	+	101	0	0	0	0
dme-mir-4986	chr3L	9733659	9733780	-	122	0	0	0	0
dme-mir-4987	chr2L	10840345	10840476	-	132	0	0	0	0
dme-mir-5	chr2R	19661158	19661226	-	69	3	2	0	1
dme-mir-6-1	chr2R	19661003	19661084	-	82	1	0	0	0
dme-mir-6-2	chr2R	19660869	19660942	-	74	0	0	0	0
dme-mir-6-3	chr2R	19660716	19660795	-	80	0	0	0	0
dme-mir-7	chr2R	20606067	20606154	+	88	985	466	47	160
dme-mir-79	chr2L	16698554	16698650	+	97	957	772	76	289
dme-mir-8	chr2R	16831432	16831518	+	87	56094	9929	2603	4720
dme-mir-87	chr2L	9950418	9950516	-	99	1147	222	54	108
dme-mir-927	chrX	15965947	15966038	-	92	136	34	9	19
dme-mir-929	chr3R	4295369	4295456	+	88	140	32	7	9
dme-mir-92a	chr3R	25646506	25646600	+	95	237	1459	16	780
dme-mir-92b	chr3R	25651398	25651497	+	100	32	366	9	218
dme-mir-932	chr2L	6902062	6902152	+	91	279	65	18	26
dme-mir-9369	chrX	19551318	19551379	+	62	37	2	4	1
dme-mir-9370	chrX	11710252	11710301	-	50	0	0	0	0
dme-mir-9371	chr3R	9989120	9989180	+	61	7	3	0	2
dme-mir-9372	chrX	633691	633751	-	61	1	0	0	0
dme-mir-9373	chr3R	19621080	19621138	-	59	0	0	0	0
dme-mir-9374	chr2L	21238301	21238361	+	61	3	0	0	0
dme-mir-9375	chr3R	6451551	6451609	-	59	0	1	1	0
dme-mir-9376	chr2R	22946867	22946942	+	76	0	0	0	0
dme-mir-9377	chrX	12665217	12665268	+	52	0	0	0	0
dme-mir-9378	chr2L	10751877	10751938	-	62	0	0	0	0
dme-mir-9379	chr2R	13852845	13852901	-	57	0	0	0	0
dme-mir-9380	chr3R	8348702	8348778	-	77	0	0	0	0
dme-mir-9381	chr3R	23983496	23983569	+	74	0	0	0	1
dme-mir-9382	chr2L	12724957	12725025	+	69	0	0	0	0
dme-mir-9383	chr3R	15221795	15221855	+	61	0	0	0	0
dme-mir-9384	chr3R	4748664	4748723	-	60	0	0	0	0
dme-mir-9385	chr4	400703	400765	-	63	0	0	0	0
dme-mir-9388	chr3L	22945116	22945207	+	92	1	0	0	0
dme-mir-954	chr4	626126	626212	+	87	73	24	8	9
dme-mir-955	chr3L	3299055	3299151	+	97	39	1	3	3
dme-mir-956	chr3L	11773731	11773878	-	148	2268	738	160	258
dme-mir-957	chr3L	22518196	22518291	-	96	276	51	7	15
dme-mir-958	chr3L	22669289	22669380	-	92	6584	2442	702	1026
dme-mir-959	chr2L	5640940	5641037	+	98	219	7	10	0
dme-mir-960	chr2L	5641063	5641155	+	93	240	5	12	4
dme-mir-961	chr2L	5641191	5641279	+	89	95	1	8	0
dme-mir-962	chr2L	5641298	5641389	+	92	75	2	3	3
dme-mir-963	chr2L	5641990	5642078	+	89	264	9	13	5
dme-mir-964	chr2L	5642102	5642201	+	100	332	8	24	10
dme-mir-965	chr2L	243035	243141	-	107	216	108	21	59
dme-mir-966	chr2L	6045627	6045713	-	87	13	10	1	2
dme-mir-967	chr2L	12460004	12460100	-	97	2	1	0	0
dme-mir-968	chr2L	13747748	13747839	-	92	0	1	0	0
dme-mir-969	chrX	18124357	18124450	+	94	14	2	1	0
dme-mir-970	chrX	12636336	12636430	+	95	635	214	40	49
dme-mir-971	chrX	13062072	13062167	+	96	14	6	2	1
dme-mir-972	chrX	19551152	19551242	+	91	83	1	3	0
dme-mir-973	chrX	19551528	19551628	+	101	122	0	5	0
dme-mir-974	chrX	19551678	19551778	+	101	19	0	1	0
dme-mir-975	chrX	19558753	19558843	+	91	170	0	6	1
dme-mir-976	chrX	19558895	19558991	+	97	57	0	1	0
dme-mir-977	chrX	19559022	19559120	+	99	1568	18	121	5
dme-mir-978	chrX	19561236	19561327	+	92	212	2	7	0
dme-mir-979	chrX	19561837	19561931	+	95	15	0	1	0
dme-mir-980	chrX	280172	280269	-	98	291	61	13	38
dme-mir-981	chrX	1788861	1788957	-	97	569	107	25	77
dme-mir-982	chrX	4365806	4365898	-	93	107	1	7	0
dme-mir-984	chrX	4368646	4368735	-	90	582	6	26	9
dme-mir-985	chrX	16191254	16191339	-	86	129	0	9	0
dme-mir-986	chr2R	8444982	8445081	+	100	423	78	12	17
dme-mir-987	chr2R	9313023	9313116	-	94	335	69	9	35
dme-mir-988	chr2R	12158872	12158970	-	99	3961	2170	359	674
dme-mir-989	chr2R	14145351	14145524	-	174	48	7660	2	2463
dme-mir-990	chr2R	16895223	16895308	-	86	12	0	1	3
dme-mir-991	chr2R	20585200	20585295	-	96	47	0	2	0
dme-mir-992	chr2R	20585314	20585405	-	92	405	3	35	3
dme-mir-993	chr3R	6776333	6776451	+	119	2086	196	101	104
dme-mir-994	chr3R	10408137	10408227	+	91	35	5235	3	2459
dme-mir-995	chr3R	20735923	20736012	+	90	274	705	18	200
dme-mir-996	chr3R	29217184	29217280	+	97	4903	2972	335	1353
dme-mir-997	chr3R	19326954	19327168	-	215	9	0	0	0
dme-mir-998	chr3R	21621879	21622021	-	143	488	319	35	130
dme-mir-999	chr3R	21798227	21798331	-	105	569	130	43	69
dme-mir-9a	chr3L	19565131	19565208	+	78	4501	1145	160	448
dme-mir-9b	chr2L	16698744	16698834	+	91	1558	1718	42	846
dme-mir-9c	chr2L	16697924	16698015	+	92	1181	1702	65	607
dme-mir-iab-4	chr3R	16856275	16856342	+	68	0	0	0	0
dme-mir-iab-8	chr3R	16856275	16856342	-	68	0	0	0	0
